company_id,type,rule_id,text,confidence_pct
ABB,con,CON_01,Debt-to-equity ratio of 3.95 is elevated for a non-financial company and warrants monitoring,79.5
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 33.25 is elevated for a non-financial company and warrants monitoring,95.0
ADANIENSOL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
ADANIENSOL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,69.24
ADANIENT,con,CON_01,Debt-to-equity ratio of 572.89 is elevated for a non-financial company and warrants monitoring,95.0
ADANIENT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ADANIENT,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,60.16
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,64.63
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 40.95 is elevated for a non-financial company and warrants monitoring,95.0
ADANIGREEN,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,79.35
ADANIPORTS,con,CON_01,Debt-to-equity ratio of 114.51 is elevated for a non-financial company and warrants monitoring,95.0
ADANIPOWER,con,CON_01,Debt-to-equity ratio of 8.97 is elevated for a non-financial company and warrants monitoring,95.0
AMBUJACEM,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
APOLLOHOSP,con,CON_01,Debt-to-equity ratio of 74.07 is elevated for a non-financial company and warrants monitoring,95.0
ASIANPAINT,con,CON_01,Debt-to-equity ratio of 25.77 is elevated for a non-financial company and warrants monitoring,95.0
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ATGL,con,CON_01,Debt-to-equity ratio of 14.15 is elevated for a non-financial company and warrants monitoring,95.0
ATGL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
AXISBANK,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72.04
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
BAJAJAUTO,con,CON_01,Debt-to-equity ratio of 6.85 is elevated for a non-financial company and warrants monitoring,95.0
BAJAJAUTO,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75.2
BAJFINANCE,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
BAJFINANCE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71.42
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
BANKBARODA,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71.8
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
BEL,con,CON_01,Debt-to-equity ratio of 3.91 is elevated for a non-financial company and warrants monitoring,79.1
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 74.94 is elevated for a non-financial company and warrants monitoring,95.0
BHEL,con,CON_01,Debt-to-equity ratio of 12.72 is elevated for a non-financial company and warrants monitoring,95.0
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,74.86
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,89.79
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,90.54
BPCL,con,CON_01,Debt-to-equity ratio of 25.56 is elevated for a non-financial company and warrants monitoring,95.0
BRITANNIA,con,CON_01,Debt-to-equity ratio of 86.04 is elevated for a non-financial company and warrants monitoring,95.0
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70.26
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
CHOLAFIN,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
CHOLAFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72.8
CHOLAFIN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
CIPLA,con,CON_01,Debt-to-equity ratio of 3.47 is elevated for a non-financial company and warrants monitoring,74.7
DABUR,con,CON_01,Debt-to-equity ratio of 7.71 is elevated for a non-financial company and warrants monitoring,95.0
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
DLF,con,CON_01,Debt-to-equity ratio of 9.77 is elevated for a non-financial company and warrants monitoring,95.0
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71.6
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,77.61
DRREDDY,con,CON_01,Debt-to-equity ratio of 24.12 is elevated for a non-financial company and warrants monitoring,95.0
EICHERMOT,con,CON_01,Debt-to-equity ratio of 15.52 is elevated for a non-financial company and warrants monitoring,95.0
GAIL,con,CON_01,Debt-to-equity ratio of 3.31 is elevated for a non-financial company and warrants monitoring,73.1
GAIL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
GODREJCP,con,CON_01,Debt-to-equity ratio of 31.59 is elevated for a non-financial company and warrants monitoring,95.0
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year,75.0
GRASIM,con,CON_01,Debt-to-equity ratio of 1031.24 is elevated for a non-financial company and warrants monitoring,95.0
GRASIM,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.3
HAL,con,CON_01,Debt-to-equity ratio of 24.60 is elevated for a non-financial company and warrants monitoring,95.0
HAL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
HAVELLS,con,CON_01,Debt-to-equity ratio of 4.81 is elevated for a non-financial company and warrants monitoring,88.1
HCLTECH,con,CON_01,Debt-to-equity ratio of 10.60 is elevated for a non-financial company and warrants monitoring,95.0
HDFCBANK,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65.18
HDFCBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
HEROMOTOCO,con,CON_01,Debt-to-equity ratio of 15.15 is elevated for a non-financial company and warrants monitoring,95.0
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,62.16
HINDALCO,con,CON_01,Debt-to-equity ratio of 253.86 is elevated for a non-financial company and warrants monitoring,95.0
HINDUNILVR,con,CON_01,Debt-to-equity ratio of 6.31 is elevated for a non-financial company and warrants monitoring,95.0
HINDUNILVR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ICICIBANK,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,65.1
ICICIBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.59
INDUSINDBK,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
INDUSINDBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,69.5
INDUSINDBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
INFY,con,CON_01,Debt-to-equity ratio of 4.04 is elevated for a non-financial company and warrants monitoring,80.4
INFY,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
IOC,con,CON_01,Debt-to-equity ratio of 9.63 is elevated for a non-financial company and warrants monitoring,95.0
IOC,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,62.22
IRFC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,60.78
IRFC,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,95.0
JINDALSTEL,con,CON_01,Debt-to-equity ratio of 164.72 is elevated for a non-financial company and warrants monitoring,95.0
JIOFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77.84
JSWENERGY,con,CON_01,Debt-to-equity ratio of 19.24 is elevated for a non-financial company and warrants monitoring,95.0
JSWENERGY,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
JSWENERGY,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,62.49
JSWENERGY,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,68.61
JSWSTEEL,con,CON_01,Debt-to-equity ratio of 288.47 is elevated for a non-financial company and warrants monitoring,95.0
JSWSTEEL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
KOTAKBANK,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
KOTAKBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,73.63
LICI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.76
LODHA,con,CON_01,Debt-to-equity ratio of 7.74 is elevated for a non-financial company and warrants monitoring,95.0
LODHA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66.66
LT,con,CON_01,Debt-to-equity ratio of 69.03 is elevated for a non-financial company and warrants monitoring,95.0
LT,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
LTIM,con,CON_01,Debt-to-equity ratio of 69.03 is elevated for a non-financial company and warrants monitoring,95.0
MM,con,CON_01,Debt-to-equity ratio of 195.06 is elevated for a non-financial company and warrants monitoring,95.0
MOTHERSON,con,CON_01,Debt-to-equity ratio of 29.38 is elevated for a non-financial company and warrants monitoring,95.0
NAUKRI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,75.86
