company_id,company_name,period,profitability_score,growth_score,cashflow_score,leverage_score,efficiency_score,overall_score,rating,remarks
ABB,,Dec 2012,72.41,,,90.0,,78.27,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2014,75.13,,,90.0,,80.09,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2015,74.44,,,90.0,,79.63,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2016,71.34,,,90.0,,77.56,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2017,69.97,,,90.0,,76.65,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2018,73.69,,,90.0,,79.13,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2019,72.41,,,90.0,,78.27,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2020,74.39,,,85.0,,77.93,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2021,76.56,,,85.0,,79.37,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2022,78.33,,,85.0,,80.55,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2023,79.77,,,85.0,,81.51,Strong,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ABB,,Mar 2024,82.47,,,85.0,,83.31,Strong,Strong profitability with excellent margins and returns on capital; Low leverage with strong debt servicing capacity and conservative capital structure
ADANIENSOL,,Mar 2014,50.0,,,90.0,,63.33,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
ADANIENSOL,,Mar 2015,49.35,,,50.0,,49.57,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIENSOL,,Mar 2016,63.77,,,60.0,,62.51,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2017,64.12,,,60.0,,62.75,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2018,68.87,,,70.0,,69.25,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2019,56.95,,,60.0,,57.97,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2020,58.31,,,60.0,,58.87,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2021,64.46,,,60.0,,62.97,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2022,62.47,,,60.0,,61.65,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2023,60.9,,,60.0,,60.6,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIENSOL,,Mar 2024,59.46,,,60.0,,59.64,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2013,55.69,,,60.0,,57.13,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2014,61.14,,,60.0,,60.76,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2015,58.93,,,60.0,,59.29,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2016,57.47,,,70.0,,61.65,Healthy,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2017,56.54,,,70.0,,61.03,Healthy,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2018,53.94,,,70.0,,59.29,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2019,53.43,,,85.0,,63.95,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
ADANIENT,,Mar 2020,56.14,,,85.0,,65.76,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
ADANIENT,,Mar 2021,56.1,,,85.0,,65.73,Healthy,Moderate profitability with average margin profile; Low leverage with strong debt servicing capacity and conservative capital structure
ADANIENT,,Mar 2022,53.54,,,70.0,,59.03,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2023,57.33,,,70.0,,61.55,Healthy,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIENT,,Mar 2024,58.53,,,70.0,,62.35,Healthy,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIGREEN,,Mar 2017,46.09,,,60.0,,50.73,Moderate,Moderate profitability with average margin profile; Manageable debt levels with adequate interest coverage
ADANIGREEN,,Mar 2018,39.71,,,50.0,,43.14,Weak,Weak profitability with declining margins; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIGREEN,,Mar 2019,25.43,,,50.0,,33.62,Weak,Weak profitability with declining margins; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIGREEN,,Mar 2020,47.11,,,50.0,,48.07,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIGREEN,,Mar 2021,58.27,,,50.0,,55.51,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIGREEN,,Mar 2022,68.71,,,50.0,,62.47,Healthy,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIGREEN,,Mar 2023,63.32,,,50.0,,58.88,Moderate,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIGREEN,,Mar 2024,62.81,,,50.0,,58.54,Moderate,Healthy profitability with good margin retention; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPORTS,,Mar 2013,75.63,,,70.0,,73.75,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2014,69.86,,,70.0,,69.91,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2015,71.59,,,70.0,,71.06,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2016,71.15,,,70.0,,70.77,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2017,72.26,,,70.0,,71.51,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2018,67.65,,,70.0,,68.43,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2019,66.6,,,70.0,,67.73,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2020,64.87,,,70.0,,66.58,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2021,66.59,,,70.0,,67.73,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2022,61.84,,,70.0,,64.56,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2023,61.88,,,70.0,,64.59,Healthy,Healthy profitability with good margin retention; Manageable debt levels with adequate interest coverage
ADANIPORTS,,Mar 2024,65.35,,,85.0,,71.9,Healthy,Healthy profitability with good margin retention; Low leverage with strong debt servicing capacity and conservative capital structure
ADANIPOWER,,Mar 2013,0.0,,,50.0,,16.67,Distressed,Poor profitability with significant losses and negative returns; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPOWER,,Mar 2014,45.55,,,50.0,,47.03,Moderate,Moderate profitability with average margin profile; High leverage risk with elevated debt burden and reduced financial flexibility
ADANIPOWER,,Mar 2015,35.75,,,50.0,,40.5,Weak,Weak profitability with declining margins; High leverage risk with elevated debt burden and reduced financial flexibility
