company_id,type,rule_id,text,confidence_pct
ABB,con,CON_01,Debt-to-equity ratio of 3.95 is elevated for a non-financial company and warrants monitoring,79.5
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67.47
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,93.35
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 33.25 is elevated for a non-financial company and warrants monitoring,95.0
ADANIENSOL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70.0
ADANIENSOL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,69.24
ADANIENSOL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.0
ADANIENT,con,CON_01,Debt-to-equity ratio of 572.89 is elevated for a non-financial company and warrants monitoring,95.0
ADANIENT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ADANIENT,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,60.16
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,64.63
ADANIENT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 40.95 is elevated for a non-financial company and warrants monitoring,95.0
ADANIGREEN,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,79.35
ADANIGREEN,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75.0
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ADANIGREEN,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIPORTS,con,CON_01,Debt-to-equity ratio of 114.51 is elevated for a non-financial company and warrants monitoring,95.0
ADANIPORTS,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,65.79
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ADANIPORTS,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,60.72
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.55
ADANIPOWER,con,CON_01,Debt-to-equity ratio of 8.97 is elevated for a non-financial company and warrants monitoring,95.0
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79.0
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.18
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.2
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,84.79
AMBUJACEM,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72.0
AMBUJACEM,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,77.03
AMBUJACEM,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
AMBUJACEM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,63.21
APOLLOHOSP,con,CON_01,Debt-to-equity ratio of 74.07 is elevated for a non-financial company and warrants monitoring,95.0
APOLLOHOSP,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
