company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67.47
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ABB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,93.35
ADANIENSOL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66.0
ADANIENT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ADANIGREEN,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75.0
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,95.0
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ADANIGREEN,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIPORTS,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,65.79
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,95.0
ADANIPORTS,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,60.72
ADANIPORTS,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.55
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79.0
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66.18
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,73.2
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,95.0
ADANIPOWER,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,84.79
AMBUJACEM,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.0
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,77.03
